Title,Company,Experience,Location,Description,Posted,Skills,Link
GEN AI - Engineer/Specialist - Pan India - Immediate Joiner,People staffing solutions,5-10 Yrs,"Bengaluru, Hyderabad, Delhi / NCR",". Bachelors or Master s degree in Computer Science, Artificial Intelligence, Data Scien...",9 Days Ago,"Generative Ai, LLM, Machine Learning, Python, SQL, Data Science, Artificial Intelligence, Natural Language Processing",https://www.naukri.com/job-listings-gen-ai-engineer-specialist-pan-india-immediate-joiner-people-staffing-hyderabad-bengaluru-delhi-ncr-5-to-10-years-190425000092
GEN AI/ML,Nielsen Sports,5-10 Yrs,Bengaluru,"Experience with cloud-based machine learning platforms like AWS, Azure, or Google Cloud...",10 Days Ago,"NoSQL, Data modeling, Social media, Machine learning, Agile, Data processing, MongoDB, SQL",https://www.naukri.com/job-listings-gen-ai-ml-nielsen-sports-bengaluru-5-to-10-years-180425505322
Data Analysis & Simulation Professional (Gen AI Engineer),Siemens,2-6 Yrs,Bengaluru,The position is responsible for turning research into practical solutions that address ...,11 Days Ago,"python, data processing, machine learning, aws, flask, hive, kubernetes, rest",https://www.naukri.com/job-listings-data-analysis-simulation-professional-gen-ai-engineer-siemens-limited-bengaluru-2-to-6-years-170425915048
Gen Ai,For one of the reputed MNC,4-9 Yrs,"Bengaluru, Delhi / NCR, Mumbai (All Areas)","Cloud Platforms : Extensive experience with Azure, GCP, and AWS for deploying and manag...",11 Days Ago,"Crew Ai, Wren Ai, Gen Ai, Autogen, Generative Ai, Langchain, Artificial Intelligence, Natural Language Processing",https://www.naukri.com/job-listings-gen-ai-hr-solutions-bengaluru-delhi-ncr-mumbai-all-areas-4-to-9-years-170425020686
Data Analysis & Simulation Professional (Gen AI Engineer),Siemens Healthcare,5-7 Yrs,Bengaluru,We are seeking for a 5-7-year experience AI engineer with a strong background in machin...,12 Days Ago,"Automation, Data analysis, Simulation, Data modeling, Django, Machine learning, Monitoring, Testing",https://www.naukri.com/job-listings-data-analysis-simulation-professional-gen-ai-engineer-siemens-healthcare-bengaluru-5-to-7-years-160425506040
Data Scientist,Visa,3-7 Yrs,Bengaluru,"Data Science/Data Engineering Full-time Apply for this position Date : Mar 28, 2025 Loc...",Just Now,", data analysis, data mining, model development, reporting, research, trend analysis, statistics",https://www.naukri.com/job-listings-data-scientist-visa-inc-bengaluru-3-to-7-years-280425502870
Data Scientist-Gen AI,Infosys,2-6 Yrs,Bengaluru,"Responsibilities Anchor ML development track in a client project Data collection, profi...",Just Now,", python, eda, data analysis, data validation, model development, machine learning, data collection",https://www.naukri.com/job-listings-data-scientist-gen-ai-infosys-technologies-ltd-bengaluru-2-to-6-years-280425503147
"Staff Data Scientist, Ads Insights and Measurement",Google,2-5 Yrs,Bengaluru,"Minimum qualifications: Master's degree in Statistics or Economics, a related field, or...",2 Days Ago,"pandas, matlab, r, python, exploratory data analysis, google, sql, Analysis",https://www.naukri.com/job-listings-staff-data-scientist-ads-insights-and-measurement-google-india-private-limited-bengaluru-2-to-5-years-260425504411
Industrial Data Scientist,Exxon Mobil Corporation,3-8 Yrs,Bengaluru,"About Us At ExxonMobil, our vision is to lead in energy innovations that advance modern...",Just Now,"time series analysis, , natural language processing, data science, data integration tools, programming, statistics, communication skills",https://www.naukri.com/job-listings-industrial-data-scientist-exxon-mobil-corporation-bengaluru-3-to-8-years-280425505519
Data Scientist,UPS Supply Chain Solutions (UPS SCS),3-7 Yrs,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai",", international equivalent, or equivalent job experience. Proficient in using GCP tool...",2 Days Ago,"Computer science, Operations research, Analytical, Debugging, Machine learning, Agile, Operations, SQL",https://www.naukri.com/job-listings-data-scientist-ups-pvt-ltd-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-3-to-7-years-260425501455
Data Scientist,Acenet,5-8 Yrs,"Bengaluru, Pune, Gurugram",Previous 2+ experience as a data engineer or in a similar roleProven 2+years of experie...,2 Days Ago,"Supply chain, Machine learning, Javascript, Healthcare, Data structures, Business strategy, Financial services, SQL",https://www.naukri.com/job-listings-data-scientist-acenet-pune-gurugram-bengaluru-5-to-8-years-260425500453
Data Scientist,BAY Area Technology Solutions,5-10 Yrs,Bengaluru,". Educational Background: Bachelors or Masters degree in Computer Science, Data Science...",Few Hours Ago,"Machine Learning, python, data analysis, natural language processing, power bi, microsoft azure, sql, r",https://www.naukri.com/job-listings-data-scientist-bay-area-technology-solutions-bengaluru-5-to-10-years-280425920841
Data Scientist,Webkit24,5-9 Yrs,"Bengaluru, Kolkata, Mumbai, New Delhi, Hyderabad, Pune, Chennai",We are seeking a highly motivated and detail-oriented Data Scientist to join our remote...,Just Now,", r, tableau, microsoft azure, machine learning, statistics, sql, communication skills",https://www.naukri.com/job-listings-data-scientist-webkit24-kolkata-mumbai-new-delhi-hyderabad-pune-chennai-bengaluru-5-to-9-years-280425504992
Data Scientist,Equifax Credit Information Services Private Limited,1-5 Yrs,Bengaluru,. Credit risk modeling development experience is a must . Python / SQL coding experienc...,Few Hours Ago,"Logistic regression, GCP, Bfsi, Analytical, risk modeling, Machine learning, Healthcare, Credit risk",https://www.naukri.com/job-listings-data-scientist-equifax-credit-information-services-private-limited-bengaluru-1-to-5-years-280425501072
